roomNumber,bin,room_entry_sequence,user_id,prev_people,curr_people,max_people,join_result,anomaly_type,over_capacity_amount,over_capacity_curr,over_capacity_max,true_critical_section_nanoTime_start,true_critical_section_nanoTime_end
1301,1,20,yhjj922,20,21,100,SUCCESS,,0,0,0,876799000000.0,876799000000.0
1301,2,21,yhjj847,21,22,100,SUCCESS,,0,0,0,876801000000.0,876801000000.0
1301,2,22,yhjj899,22,23,100,SUCCESS,,0,0,0,876801000000.0,876802000000.0
1301,2,23,yhjj839,23,24,100,SUCCESS,,0,0,0,876807000000.0,876807000000.0
1301,2,24,yhjj846,24,25,100,SUCCESS,,0,0,0,876807000000.0,876809000000.0
1301,2,25,yhjj889,24,27,100,SUCCESS,,0,0,0,876808000000.0,876809000000.0
1301,2,26,yhjj832,25,26,100,SUCCESS,,0,0,0,876809000000.0,876809000000.0
1301,2,27,yhjj876,27,28,100,SUCCESS,,0,0,0,876815000000.0,876815000000.0
1301,2,28,yhjj996,28,29,100,SUCCESS,,0,0,0,876819000000.0,876819000000.0
1301,2,29,yhjj828,29,30,100,SUCCESS,,0,0,0,876821000000.0,876821000000.0
1301,2,30,yhjj845,30,31,100,SUCCESS,,0,0,0,876821000000.0,876821000000.0
1301,2,31,yhjj874,31,32,100,SUCCESS,,0,0,0,876824000000.0,876824000000.0
1301,2,32,yhjj991,32,33,100,SUCCESS,,0,0,0,876825000000.0,876825000000.0
1301,2,33,yhjj1002,33,34,100,SUCCESS,,0,0,0,876829000000.0,876829000000.0
1301,2,34,yhjj924,34,35,100,SUCCESS,,0,0,0,876830000000.0,876831000000.0
1301,2,35,yhjj904,35,36,100,SUCCESS,,0,0,0,876831000000.0,876831000000.0
1301,2,36,yhjj1015,36,37,100,SUCCESS,,0,0,0,876835000000.0,876835000000.0
1301,2,37,yhjj1008,37,38,100,SUCCESS,,0,0,0,876835000000.0,876835000000.0
1301,2,38,yhjj913,38,40,100,SUCCESS,,0,0,0,876843000000.0,876844000000.0
1301,2,39,yhjj822,38,39,100,SUCCESS,,0,0,0,876843000000.0,876843000000.0
1301,2,40,yhjj912,40,41,100,SUCCESS,,0,0,0,876849000000.0,876849000000.0
1301,3,41,yhjj882,40,42,100,SUCCESS,,0,0,0,876849000000.0,876849000000.0
1301,3,42,yhjj937,42,43,100,SUCCESS,,0,0,0,876849000000.0,876850000000.0
1301,3,43,yhjj853,42,44,100,SUCCESS,,0,0,0,876849000000.0,876850000000.0
1301,3,44,yhjj994,44,45,100,SUCCESS,,0,0,0,876851000000.0,876851000000.0
1301,3,45,yhjj858,45,46,100,SUCCESS,,0,0,0,876851000000.0,876851000000.0
1301,3,46,yhjj923,46,47,100,SUCCESS,,0,0,0,876853000000.0,876853000000.0
1301,3,47,yhjj953,47,48,100,SUCCESS,,0,0,0,876855000000.0,876855000000.0
1301,3,48,yhjj870,48,49,100,SUCCESS,,0,0,0,876855000000.0,876855000000.0
1301,3,49,yhjj995,49,50,100,SUCCESS,,0,0,0,876856000000.0,876856000000.0
1301,3,50,yhjj969,50,51,100,SUCCESS,,0,0,0,876858000000.0,876858000000.0
1301,3,51,yhjj981,51,52,100,SUCCESS,,0,0,0,876858000000.0,876858000000.0
1301,3,52,yhjj886,52,53,100,SUCCESS,,0,0,0,876862000000.0,876862000000.0
1301,3,53,yhjj861,53,54,100,SUCCESS,,0,0,0,876864000000.0,876864000000.0
1301,3,54,yhjj910,54,55,100,SUCCESS,,0,0,0,876866000000.0,876866000000.0
1301,3,55,yhjj976,55,56,100,SUCCESS,,0,0,0,876867000000.0,876867000000.0
1301,3,56,yhjj857,56,57,100,SUCCESS,,0,0,0,876870000000.0,876870000000.0
1301,3,57,yhjj863,57,58,100,SUCCESS,,0,0,0,876870000000.0,876870000000.0
1301,3,58,yhjj1006,58,60,100,SUCCESS,,0,0,0,876870000000.0,876872000000.0
1301,3,59,yhjj952,58,59,100,SUCCESS,,0,0,0,876870000000.0,876870000000.0
1301,3,60,yhjj864,60,61,100,SUCCESS,,0,0,0,876872000000.0,876872000000.0
1301,4,61,yhjj1003,61,62,100,SUCCESS,,0,0,0,876873000000.0,876873000000.0
1301,4,62,yhjj855,62,63,100,SUCCESS,,0,0,0,876876000000.0,876876000000.0
1301,4,63,yhjj915,63,64,100,SUCCESS,,0,0,0,876876000000.0,876876000000.0
1301,4,64,yhjj862,64,67,100,SUCCESS,,0,0,0,876877000000.0,876879000000.0
1301,4,65,yhjj928,64,65,100,SUCCESS,,0,0,0,876877000000.0,876877000000.0
1301,4,66,yhjj823,65,66,100,SUCCESS,,0,0,0,876878000000.0,876878000000.0
1301,4,67,yhjj841,67,68,100,SUCCESS,,0,0,0,876880000000.0,876880000000.0
1301,4,68,yhjj909,68,69,100,SUCCESS,,0,0,0,876881000000.0,876881000000.0
1301,4,69,yhjj962,68,71,100,SUCCESS,,0,0,0,876881000000.0,876881000000.0
1301,4,70,yhjj894,69,70,100,SUCCESS,,0,0,0,876881000000.0,876881000000.0
1301,4,71,yhjj892,70,72,100,SUCCESS,,0,0,0,876881000000.0,876881000000.0
1301,4,72,yhjj907,72,73,100,SUCCESS,,0,0,0,876883000000.0,876883000000.0
1301,4,73,yhjj885,73,75,100,SUCCESS,,0,0,0,876886000000.0,876886000000.0
1301,4,74,yhjj979,73,74,100,SUCCESS,,0,0,0,876886000000.0,876886000000.0
1301,4,75,yhjj955,75,76,100,SUCCESS,,0,0,0,876886000000.0,876886000000.0
1301,4,76,yhjj849,76,77,100,SUCCESS,,0,0,0,876889000000.0,876889000000.0
1301,4,77,yhjj992,77,78,100,SUCCESS,,0,0,0,876889000000.0,876889000000.0
1301,4,78,yhjj978,78,79,100,SUCCESS,,0,0,0,876890000000.0,876890000000.0
1301,4,79,yhjj884,78,81,100,SUCCESS,,0,0,0,876890000000.0,876891000000.0
1301,4,80,yhjj844,79,80,100,SUCCESS,,0,0,0,876891000000.0,876891000000.0
1301,5,81,yhjj929,81,82,100,SUCCESS,,0,0,0,876896000000.0,876896000000.0
1301,5,82,yhjj917,82,83,100,SUCCESS,,0,0,0,876896000000.0,876896000000.0
1301,5,83,yhjj946,83,84,100,SUCCESS,,0,0,0,876897000000.0,876897000000.0
1301,5,84,yhjj851,84,85,100,SUCCESS,,0,0,0,876899000000.0,876899000000.0
1301,5,85,yhjj877,85,86,100,SUCCESS,,0,0,0,876899000000.0,876899000000.0
1301,5,86,yhjj856,86,87,100,SUCCESS,,0,0,0,876900000000.0,876900000000.0
1301,5,87,yhjj911,87,88,100,SUCCESS,,0,0,0,876901000000.0,876902000000.0
1301,5,88,yhjj831,87,90,100,SUCCESS,,0,0,0,876902000000.0,876903000000.0
1301,5,89,yhjj908,88,89,100,SUCCESS,,0,0,0,876902000000.0,876902000000.0
1301,5,90,yhjj927,90,91,100,SUCCESS,,0,0,0,876903000000.0,876903000000.0
1301,5,91,yhjj919,91,92,100,SUCCESS,,0,0,0,876907000000.0,876907000000.0
1301,5,92,yhjj821,92,93,100,SUCCESS,,0,0,0,876908000000.0,876908000000.0
1301,5,93,yhjj916,93,99,100,SUCCESS,,0,0,0,876908000000.0,876917000000.0
1301,5,94,yhjj1014,93,94,100,SUCCESS,,0,0,0,876909000000.0,876909000000.0
1301,5,95,yhjj961,94,95,100,SUCCESS,,0,0,0,876910000000.0,876910000000.0
1301,5,96,yhjj942,95,96,100,SUCCESS,,0,0,0,876911000000.0,876911000000.0
1301,5,97,yhjj977,96,97,100,SUCCESS,,0,0,0,876914000000.0,876914000000.0
1301,5,98,yhjj932,97,98,100,SUCCESS,,0,0,0,876915000000.0,876915000000.0
1301,5,99,yhjj898,99,100,100,SUCCESS,,0,0,0,876917000000.0,876917000000.0
1301,5,100,yhjj833,100,100,100,FAIL_OVER_CAPACITY,,0,0,0,876918000000.0,876918000000.0
1301,6,101,yhjj921,100,100,100,FAIL_OVER_CAPACITY,,0,0,0,876918000000.0,876919000000.0
1301,6,102,yhjj968,100,100,100,FAIL_OVER_CAPACITY,,0,0,0,876919000000.0,876919000000.0
1301,6,103,yhjj819,100,100,100,FAIL_OVER_CAPACITY,,0,0,0,876920000000.0,876920000000.0
1301,6,104,yhjj873,100,100,100,FAIL_OVER_CAPACITY,,0,0,0,876926000000.0,876926000000.0
1301,6,105,yhjj986,100,100,100,FAIL_OVER_CAPACITY,,0,0,0,876927000000.0,876927000000.0
1301,6,106,yhjj860,100,100,100,FAIL_OVER_CAPACITY,,0,0,0,876928000000.0,876928000000.0
1301,6,107,yhjj888,100,100,100,FAIL_OVER_CAPACITY,,0,0,0,876928000000.0,876928000000.0
1301,6,108,yhjj1000,100,100,100,FAIL_OVER_CAPACITY,,0,0,0,876929000000.0,876929000000.0
1301,6,109,yhjj868,100,100,100,FAIL_OVER_CAPACITY,,0,0,0,876932000000.0,876932000000.0
1301,6,110,yhjj829,100,100,100,FAIL_OVER_CAPACITY,,0,0,0,876934000000.0,876934000000.0
1301,6,111,yhjj989,100,100,100,FAIL_OVER_CAPACITY,,0,0,0,876936000000.0,876941000000.0
1301,6,112,yhjj879,100,100,100,FAIL_OVER_CAPACITY,,0,0,0,876941000000.0,876945000000.0
1301,6,113,yhjj1010,100,100,100,FAIL_OVER_CAPACITY,,0,0,0,876941000000.0,876941000000.0
1301,6,114,yhjj963,100,100,100,FAIL_OVER_CAPACITY,,0,0,0,876942000000.0,876942000000.0
1301,6,115,yhjj1018,100,100,100,FAIL_OVER_CAPACITY,,0,0,0,876944000000.0,876944000000.0
1301,6,116,yhjj984,100,100,100,FAIL_OVER_CAPACITY,,0,0,0,876947000000.0,876947000000.0
1301,6,117,yhjj920,100,100,100,FAIL_OVER_CAPACITY,,0,0,0,876949000000.0,876949000000.0
1301,6,118,yhjj936,100,100,100,FAIL_OVER_CAPACITY,,0,0,0,876949000000.0,876949000000.0
1301,6,119,yhjj982,100,100,100,FAIL_OVER_CAPACITY,,0,0,0,876952000000.0,876953000000.0
1301,6,120,yhjj1011,100,100,100,FAIL_OVER_CAPACITY,,0,0,0,876953000000.0,876953000000.0
1301,7,121,yhjj871,100,100,100,FAIL_OVER_CAPACITY,,0,0,0,876956000000.0,876956000000.0
1301,7,122,yhjj993,100,100,100,FAIL_OVER_CAPACITY,,0,0,0,876957000000.0,876957000000.0
1301,7,123,yhjj951,100,100,100,FAIL_OVER_CAPACITY,,0,0,0,876966000000.0,876966000000.0
1301,7,124,yhjj838,100,100,100,FAIL_OVER_CAPACITY,,0,0,0,876967000000.0,876967000000.0
1301,7,125,yhjj950,100,100,100,FAIL_OVER_CAPACITY,,0,0,0,876970000000.0,876970000000.0
1301,7,126,yhjj964,100,100,100,FAIL_OVER_CAPACITY,,0,0,0,876970000000.0,876970000000.0
1301,7,127,yhjj959,100,100,100,FAIL_OVER_CAPACITY,,0,0,0,876975000000.0,876975000000.0
1301,7,128,yhjj983,100,100,100,FAIL_OVER_CAPACITY,,0,0,0,876977000000.0,876981000000.0
1301,7,129,yhjj867,100,100,100,FAIL_OVER_CAPACITY,,0,0,0,876978000000.0,876978000000.0
1301,7,130,yhjj890,100,100,100,FAIL_OVER_CAPACITY,,0,0,0,876979000000.0,876979000000.0
1301,7,131,yhjj1016,100,100,100,FAIL_OVER_CAPACITY,,0,0,0,876981000000.0,876986000000.0
1301,7,132,yhjj887,100,100,100,FAIL_OVER_CAPACITY,,0,0,0,876981000000.0,876983000000.0
1301,7,133,yhjj1013,100,100,100,FAIL_OVER_CAPACITY,,0,0,0,876983000000.0,876983000000.0
1301,7,134,yhjj850,100,100,100,FAIL_OVER_CAPACITY,,0,0,0,876985000000.0,876985000000.0
1301,7,135,yhjj972,100,100,100,FAIL_OVER_CAPACITY,,0,0,0,876987000000.0,876994000000.0
1301,7,136,yhjj930,100,100,100,FAIL_OVER_CAPACITY,,0,0,0,876987000000.0,876987000000.0
1301,7,137,yhjj834,100,100,100,FAIL_OVER_CAPACITY,,0,0,0,876988000000.0,876988000000.0
1301,7,138,yhjj934,100,100,100,FAIL_OVER_CAPACITY,,0,0,0,876992000000.0,876992000000.0
1301,7,139,yhjj881,100,100,100,FAIL_OVER_CAPACITY,,0,0,0,876992000000.0,876992000000.0
1301,7,140,yhjj974,100,100,100,FAIL_OVER_CAPACITY,,0,0,0,876992000000.0,876996000000.0
1301,8,141,yhjj958,100,100,100,FAIL_OVER_CAPACITY,,0,0,0,876992000000.0,876993000000.0
1301,8,142,yhjj1001,100,100,100,FAIL_OVER_CAPACITY,,0,0,0,876993000000.0,876993000000.0
1301,8,143,yhjj965,100,100,100,FAIL_OVER_CAPACITY,,0,0,0,876993000000.0,876999000000.0
1301,8,144,yhjj1017,100,100,100,FAIL_OVER_CAPACITY,,0,0,0,876994000000.0,876994000000.0
1301,8,145,yhjj883,100,100,100,FAIL_OVER_CAPACITY,,0,0,0,876994000000.0,877000000000.0
1301,8,146,yhjj926,100,100,100,FAIL_OVER_CAPACITY,,0,0,0,876995000000.0,876995000000.0
1301,8,147,yhjj967,100,100,100,FAIL_OVER_CAPACITY,,0,0,0,876996000000.0,876996000000.0
1301,8,148,yhjj1005,100,100,100,FAIL_OVER_CAPACITY,,0,0,0,876997000000.0,876997000000.0
1301,8,149,yhjj940,100,100,100,FAIL_OVER_CAPACITY,,0,0,0,876999000000.0,877003000000.0
1301,8,150,yhjj865,100,100,100,FAIL_OVER_CAPACITY,,0,0,0,876999000000.0,877004000000.0
1301,8,151,yhjj941,100,100,100,FAIL_OVER_CAPACITY,,0,0,0,876999000000.0,876999000000.0
1301,8,152,yhjj906,100,100,100,FAIL_OVER_CAPACITY,,0,0,0,877000000000.0,877000000000.0
1301,8,153,yhjj1009,100,100,100,FAIL_OVER_CAPACITY,,0,0,0,877001000000.0,877001000000.0
1301,8,154,yhjj939,100,100,100,FAIL_OVER_CAPACITY,,0,0,0,877001000000.0,877025000000.0
1301,8,155,yhjj914,100,100,100,FAIL_OVER_CAPACITY,,0,0,0,877002000000.0,877002000000.0
1301,8,156,yhjj980,100,100,100,FAIL_OVER_CAPACITY,,0,0,0,877002000000.0,877013000000.0
1301,8,157,yhjj820,100,100,100,FAIL_OVER_CAPACITY,,0,0,0,877002000000.0,877003000000.0
1301,8,158,yhjj935,100,100,100,FAIL_OVER_CAPACITY,,0,0,0,877008000000.0,877008000000.0
1301,8,159,yhjj895,100,100,100,FAIL_OVER_CAPACITY,,0,0,0,877008000000.0,877008000000.0
1301,8,160,yhjj880,100,100,100,FAIL_OVER_CAPACITY,,0,0,0,877009000000.0,877009000000.0
1301,9,161,yhjj973,100,100,100,FAIL_OVER_CAPACITY,,0,0,0,877009000000.0,877009000000.0
1301,9,162,yhjj998,100,100,100,FAIL_OVER_CAPACITY,,0,0,0,877012000000.0,877012000000.0
1301,9,163,yhjj854,100,100,100,FAIL_OVER_CAPACITY,,0,0,0,877015000000.0,877015000000.0
1301,9,164,yhjj824,100,100,100,FAIL_OVER_CAPACITY,,0,0,0,877016000000.0,877016000000.0
1301,9,165,yhjj985,100,100,100,FAIL_OVER_CAPACITY,,0,0,0,877017000000.0,877028000000.0
1301,9,166,yhjj999,100,100,100,FAIL_OVER_CAPACITY,,0,0,0,877017000000.0,877017000000.0
1301,9,167,yhjj848,100,100,100,FAIL_OVER_CAPACITY,,0,0,0,877017000000.0,877031000000.0
1301,9,168,yhjj925,100,100,100,FAIL_OVER_CAPACITY,,0,0,0,877017000000.0,877017000000.0
1301,9,169,yhjj1012,100,100,100,FAIL_OVER_CAPACITY,,0,0,0,877018000000.0,877018000000.0
1301,9,170,yhjj1004,100,100,100,FAIL_OVER_CAPACITY,,0,0,0,877018000000.0,877019000000.0
1301,9,171,yhjj901,100,100,100,FAIL_OVER_CAPACITY,,0,0,0,877019000000.0,877019000000.0
1301,9,172,yhjj869,100,100,100,FAIL_OVER_CAPACITY,,0,0,0,877019000000.0,877019000000.0
1301,9,173,yhjj949,100,100,100,FAIL_OVER_CAPACITY,,0,0,0,877019000000.0,877019000000.0
1301,9,174,yhjj970,100,100,100,FAIL_OVER_CAPACITY,,0,0,0,877020000000.0,877032000000.0
1301,9,175,yhjj971,100,100,100,FAIL_OVER_CAPACITY,,0,0,0,877021000000.0,877021000000.0
1301,9,176,yhjj957,100,100,100,FAIL_OVER_CAPACITY,,0,0,0,877022000000.0,877022000000.0
1301,9,177,yhjj1007,100,100,100,FAIL_OVER_CAPACITY,,0,0,0,877022000000.0,877023000000.0
1301,9,178,yhjj956,100,100,100,FAIL_OVER_CAPACITY,,0,0,0,877025000000.0,877025000000.0
1301,9,179,yhjj990,100,100,100,FAIL_OVER_CAPACITY,,0,0,0,877025000000.0,877025000000.0
1301,9,180,yhjj945,100,100,100,FAIL_OVER_CAPACITY,,0,0,0,877026000000.0,877026000000.0
1301,10,181,yhjj905,100,100,100,FAIL_OVER_CAPACITY,,0,0,0,877026000000.0,877026000000.0
1301,10,182,yhjj947,100,100,100,FAIL_OVER_CAPACITY,,0,0,0,877026000000.0,877034000000.0
1301,10,183,yhjj900,100,100,100,FAIL_OVER_CAPACITY,,0,0,0,877027000000.0,877027000000.0
1301,10,184,yhjj835,100,100,100,FAIL_OVER_CAPACITY,,0,0,0,877028000000.0,877028000000.0
1301,10,185,yhjj960,100,100,100,FAIL_OVER_CAPACITY,,0,0,0,877029000000.0,877029000000.0
1301,10,186,yhjj931,100,100,100,FAIL_OVER_CAPACITY,,0,0,0,877029000000.0,877029000000.0
1301,10,187,yhjj966,100,100,100,FAIL_OVER_CAPACITY,,0,0,0,877029000000.0,877032000000.0
1301,10,188,yhjj866,100,100,100,FAIL_OVER_CAPACITY,,0,0,0,877029000000.0,877030000000.0
1301,10,189,yhjj997,100,100,100,FAIL_OVER_CAPACITY,,0,0,0,877030000000.0,877030000000.0
1301,10,190,yhjj944,100,100,100,FAIL_OVER_CAPACITY,,0,0,0,877031000000.0,877034000000.0
1301,10,191,yhjj948,100,100,100,FAIL_OVER_CAPACITY,,0,0,0,877031000000.0,877034000000.0
1301,10,192,yhjj943,100,100,100,FAIL_OVER_CAPACITY,,0,0,0,877031000000.0,877032000000.0
1301,10,193,yhjj878,100,100,100,FAIL_OVER_CAPACITY,,0,0,0,877031000000.0,877031000000.0
1301,10,194,yhjj938,100,100,100,FAIL_OVER_CAPACITY,,0,0,0,877031000000.0,877033000000.0
1301,10,195,yhjj975,100,100,100,FAIL_OVER_CAPACITY,,0,0,0,877031000000.0,877035000000.0
1301,10,196,yhjj988,100,100,100,FAIL_OVER_CAPACITY,,0,0,0,877033000000.0,877033000000.0
1301,10,197,yhjj987,100,100,100,FAIL_OVER_CAPACITY,,0,0,0,877034000000.0,877034000000.0
1301,10,198,yhjj875,100,100,100,FAIL_OVER_CAPACITY,,0,0,0,877034000000.0,877034000000.0
1301,10,199,yhjj933,100,100,100,FAIL_OVER_CAPACITY,,0,0,0,877035000000.0,877035000000.0
1301,10,200,yhjj918,100,100,100,FAIL_OVER_CAPACITY,,0,0,0,877035000000.0,877036000000.0
1302,1,1,yhjj830,1,2,100,SUCCESS,,0,0,0,1038230000000.0,1038230000000.0
1302,1,2,yhjj832,2,3,100,SUCCESS,,0,0,0,1038230000000.0,1038230000000.0
1302,1,3,yhjj893,3,4,100,SUCCESS,,0,0,0,1038230000000.0,1038230000000.0
1302,1,4,yhjj865,4,5,100,SUCCESS,,0,0,0,1038240000000.0,1038240000000.0
1302,1,5,yhjj840,5,6,100,SUCCESS,,0,0,0,1038240000000.0,1038240000000.0
1302,1,6,yhjj899,6,7,100,SUCCESS,,0,0,0,1038250000000.0,1038250000000.0
1302,1,7,yhjj866,7,8,100,SUCCESS,,0,0,0,1038250000000.0,1038250000000.0
1302,1,8,yhjj823,8,9,100,SUCCESS,,0,0,0,1038250000000.0,1038250000000.0
1302,1,9,yhjj862,9,12,100,SUCCESS,,0,0,0,1038260000000.0,1038280000000.0
1302,1,10,yhjj874,9,10,100,SUCCESS,,0,0,0,1038260000000.0,1038260000000.0
1302,1,11,yhjj872,10,11,100,SUCCESS,,0,0,0,1038260000000.0,1038260000000.0
1302,1,12,yhjj835,12,13,100,SUCCESS,,0,0,0,1038280000000.0,1038280000000.0
1302,1,13,yhjj898,13,14,100,SUCCESS,,0,0,0,1038300000000.0,1038300000000.0
1302,1,14,yhjj847,14,18,100,SUCCESS,,0,0,0,1038300000000.0,1038300000000.0
1302,1,15,yhjj850,14,15,100,SUCCESS,,0,0,0,1038300000000.0,1038300000000.0
1302,1,16,yhjj837,15,16,100,SUCCESS,,0,0,0,1038300000000.0,1038300000000.0
1302,1,17,yhjj852,15,19,100,SUCCESS,,0,0,0,1038300000000.0,1038300000000.0
1302,1,18,yhjj869,16,17,100,SUCCESS,,0,0,0,1038300000000.0,1038300000000.0
1302,1,19,yhjj889,19,20,100,SUCCESS,,0,0,0,1038310000000.0,1038310000000.0
1302,1,20,yhjj858,20,21,100,SUCCESS,,0,0,0,1038330000000.0,1038330000000.0
1302,2,21,yhjj924,21,22,100,SUCCESS,,0,0,0,1038340000000.0,1038340000000.0
1302,2,22,yhjj886,22,23,100,SUCCESS,,0,0,0,1038350000000.0,1038350000000.0
1302,2,23,yhjj977,23,24,100,SUCCESS,,0,0,0,1038360000000.0,1038360000000.0
1302,2,24,yhjj955,23,25,100,SUCCESS,,0,0,0,1038360000000.0,1038360000000.0
1302,2,25,yhjj834,25,26,100,SUCCESS,,0,0,0,1038360000000.0,1038360000000.0
1302,2,26,yhjj951,26,27,100,SUCCESS,,0,0,0,1038360000000.0,1038360000000.0
1302,2,27,yhjj953,27,28,100,SUCCESS,,0,0,0,1038360000000.0,1038360000000.0
1302,2,28,yhjj879,28,29,100,SUCCESS,,0,0,0,1038370000000.0,1038370000000.0
1302,2,29,yhjj887,29,30,100,SUCCESS,,0,0,0,1038370000000.0,1038370000000.0
1302,2,30,yhjj876,30,31,100,SUCCESS,,0,0,0,1038370000000.0,1038370000000.0
1302,2,31,yhjj914,31,32,100,SUCCESS,,0,0,0,1038370000000.0,1038370000000.0
1302,2,32,yhjj825,32,34,100,SUCCESS,,0,0,0,1038370000000.0,1038370000000.0
1302,2,33,yhjj941,32,33,100,SUCCESS,,0,0,0,1038370000000.0,1038370000000.0
1302,2,34,yhjj940,33,35,100,SUCCESS,,0,0,0,1038370000000.0,1038370000000.0
1302,2,35,yhjj917,35,36,100,SUCCESS,,0,0,0,1038380000000.0,1038380000000.0
1302,2,36,yhjj892,35,37,100,SUCCESS,,0,0,0,1038380000000.0,1038380000000.0
1302,2,37,yhjj857,37,38,100,SUCCESS,,0,0,0,1038380000000.0,1038380000000.0
1302,2,38,yhjj856,38,40,100,SUCCESS,,0,0,0,1038380000000.0,1038390000000.0
1302,2,39,yhjj881,38,39,100,SUCCESS,,0,0,0,1038380000000.0,1038390000000.0
1302,2,40,yhjj901,40,41,100,SUCCESS,,0,0,0,1038390000000.0,1038390000000.0
1302,3,41,yhjj839,41,42,100,SUCCESS,,0,0,0,1038390000000.0,1038390000000.0
1302,3,42,yhjj1003,42,43,100,SUCCESS,,0,0,0,1038400000000.0,1038400000000.0
1302,3,43,yhjj871,43,44,100,SUCCESS,,0,0,0,1038400000000.0,1038400000000.0
1302,3,44,yhjj915,44,45,100,SUCCESS,,0,0,0,1038400000000.0,1038400000000.0
1302,3,45,yhjj974,44,46,100,SUCCESS,,0,0,0,1038400000000.0,1038400000000.0
1302,3,46,yhjj863,46,47,100,SUCCESS,,0,0,0,1038400000000.0,1038400000000.0
1302,3,47,yhjj824,47,48,100,SUCCESS,,0,0,0,1038410000000.0,1038410000000.0
1302,3,48,yhjj931,48,49,100,SUCCESS,,0,0,0,1038410000000.0,1038410000000.0
1302,3,49,yhjj884,49,50,100,SUCCESS,,0,0,0,1038410000000.0,1038410000000.0
1302,3,50,yhjj913,50,51,100,SUCCESS,,0,0,0,1038410000000.0,1038410000000.0
1302,3,51,yhjj820,51,52,100,SUCCESS,,0,0,0,1038420000000.0,1038420000000.0
1302,3,52,yhjj1007,52,53,100,SUCCESS,,0,0,0,1038420000000.0,1038420000000.0
1302,3,53,yhjj1002,53,54,100,SUCCESS,,0,0,0,1038420000000.0,1038420000000.0
1302,3,54,yhjj996,54,55,100,SUCCESS,,0,0,0,1038420000000.0,1038420000000.0
1302,3,55,yhjj900,55,56,100,SUCCESS,,0,0,0,1038420000000.0,1038420000000.0
1302,3,56,yhjj998,56,57,100,SUCCESS,,0,0,0,1038420000000.0,1038420000000.0
1302,3,57,yhjj945,57,58,100,SUCCESS,,0,0,0,1038430000000.0,1038430000000.0
1302,3,58,yhjj878,58,59,100,SUCCESS,,0,0,0,1038430000000.0,1038430000000.0
1302,3,59,yhjj828,59,60,100,SUCCESS,,0,0,0,1038430000000.0,1038430000000.0
1302,3,60,yhjj870,60,61,100,SUCCESS,,0,0,0,1038430000000.0,1038430000000.0
1302,4,61,yhjj1011,61,62,100,SUCCESS,,0,0,0,1038430000000.0,1038430000000.0
1302,4,62,yhjj826,62,63,100,SUCCESS,,0,0,0,1038430000000.0,1038430000000.0
1302,4,63,yhjj1009,63,67,100,SUCCESS,,0,0,0,1038440000000.0,1038440000000.0
1302,4,64,yhjj969,63,66,100,SUCCESS,,0,0,0,1038440000000.0,1038440000000.0
1302,4,65,yhjj896,63,64,100,SUCCESS,,0,0,0,1038440000000.0,1038440000000.0
1302,4,66,yhjj902,64,65,100,SUCCESS,,0,0,0,1038440000000.0,1038440000000.0
1302,4,67,yhjj877,67,68,100,SUCCESS,,0,0,0,1038440000000.0,1038440000000.0
1302,4,68,yhjj927,68,69,100,SUCCESS,,0,0,0,1038440000000.0,1038440000000.0
1302,4,69,yhjj908,69,70,100,SUCCESS,,0,0,0,1038450000000.0,1038450000000.0
1302,4,70,yhjj973,70,71,100,SUCCESS,,0,0,0,1038450000000.0,1038450000000.0
